accX,accY,accZ,gX,gY,gZ
-14200,6608,-3404,-542,536,-229
-14264,6484,-3424,-510,346,-267
-14148,6472,-3324,-548,471,-242
-13996,6396,-3408,-582,534,-239
-14136,6192,-3300,-683,350,-116
-14152,6116,-3044,-707,493,23
-14336,6468,-3356,-573,576,88
-14300,6428,-3320,-651,205,-50
-14380,6556,-3056,-637,163,-26
-14256,6564,-3264,-688,174,45
-14024,6540,-3156,-601,345,-88
-14096,6668,-3256,-603,457,-175
-14156,6452,-3192,-641,502,-290
-14128,6540,-3096,-575,599,-312
-14208,6448,-3184,-435,867,-415
-14296,6476,-3356,-340,933,-303
-14136,6256,-3244,-362,619,-285
-14032,6328,-3256,-372,825,-127
-13124,6264,-3264,-443,950,-287
-13996,6212,-3360,-492,938,-158
-14148,6216,-2964,-285,755,-123
-14012,6372,-3084,-129,824,18
-14244,6596,-3244,-193,879,-44
-14428,6760,-3452,-290,458,-133
-14192,6620,-3256,-291,523,-166
-14092,6500,-3468,-307,691,-118
-14052,6532,-3492,-471,634,-34
-14244,6524,-3420,-495,522,-53
-13960,6620,-3304,-382,510,-106
-14064,6388,-3472,-360,498,-109
-13960,6400,-3340,-338,383,-145
-14020,6448,-3420,-308,415,-142
-14136,6676,-3852,-368,564,-91
-14404,6396,-3548,-401,460,-134
-14364,6476,-3444,-407,320,-137
-14228,6368,-3564,-470,345,-108
-14156,6332,-3428,-548,286,-156
-14012,6268,-3296,-553,439,-105
-14284,6380,-3448,-485,489,-95
-14096,6416,-3452,-563,377,-138
-14208,6440,-3684,-536,300,-90
-14168,6320,-3540,-606,423,-1
-13828,6264,-3320,-616,413,-97
-14068,6200,-3352,-397,984,-62
-14104,6012,-3204,-257,1278,-12
-14592,6284,-3640,-151,1631,228
-14296,6400,-3832,-268,612,-17
-13840,6204,-3320,-227,544,60
-13944,5972,-3224,182,1435,20
-13972,5948,-3912,406,1523,171
-13740,6028,-3732,199,1232,282
-13488,5812,-3244,254,1246,407
-13144,5804,-3420,567,1673,538
-13552,6072,-4320,446,1669,712
-13568,5776,-3844,274,1168,849
-13308,5484,-3164,415,742,1067
-12228,5436,-3596,631,1270,1057
-12488,5136,-4276,759,1238,1078
-12568,4932,-4152,540,831,957
-11016,4596,-3372,735,-78,388
-9672,4584,-3216,1059,-272,-255
-8916,4356,-2676,1502,187,-933
-8512,4900,-3064,1947,97,-1924
-8388,4520,-3920,2216,702,-3019
-12676,5080,-6236,1695,1214,-3042
-19888,7940,-7936,-370,-581,-2026
-22008,9092,-3216,-1387,-1036,-561
-20708,9920,-2972,627,4175,-530
-25168,11860,-10336,821,5058,-574
-30848,11812,-10880,-491,2106,197
-32768,14444,-9612,-1657,869,1506
-32768,16948,-7944,-1869,1456,2029
-32712,14552,-7208,-462,2206,2298
-30320,12872,-7988,1205,3853,3446
-22176,9744,-9768,1172,3120,3303
-15676,10276,-9952,-59,1808,1121
-11976,7728,-5012,-285,74,-1154
-6964,5352,-428,1048,3509,-2030
-4744,3748,-1876,2712,6733,-2575
-2444,2596,-3600,3360,5930,-3556
-2496,836,-3668,3091,3524,-4685
-1588,-80,-2880,3255,1213,-5468
336,-668,-1704,3797,-956,-6650
