accX,accY,accZ,gX,gY,gZ
-1620,15528,312,-621,-3259,1763
-1540,16216,544,-229,-2405,1273
-1884,16720,928,143,-1822,861
-2208,16724,1068,297,-1828,659
-2304,16316,1092,-54,-2393,339
-1328,15664,1408,-488,-2662,-333
-788,15504,1604,-583,-1899,-730
-752,15832,1660,-672,-693,-840
-852,15692,1972,-543,296,-317
-1176,15876,2360,-415,388,122
-1420,15932,2156,-351,134,738
-1236,15992,1720,-653,257,1043
-1292,15772,1900,-914,328,958
-1512,15616,1884,-1150,71,466
-1600,16056,1564,-1249,22,159
-1112,16224,1816,-988,491,-347
-988,15728,1872,-521,1414,-620
-2048,16480,1360,-1116,1498,-999
-2228,16048,1424,-1280,1263,-405
-1596,15844,1404,-1458,1089,-400
-1608,16116,1108,-1494,736,-512
-2076,15884,1064,-1255,456,-611
-1696,15500,880,-620,288,-436
-1824,15720,1208,-616,-432,-820
-1912,15900,380,-476,-906,-463
-1572,15348,552,-322,-1335,-616
-1416,15524,164,-216,-1587,-323
-1548,15648,40,12,-1823,-453
-1528,15820,232,247,-2147,-376
-1520,15960,260,493,-2622,-385
-1184,15924,684,813,-2470,-430
-592,16140,1452,1001,-1180,-659
-368,16120,1964,917,1089,-821
-484,16132,2056,593,3522,-797
-1068,16184,2404,244,4586,-756
-1720,16128,2560,86,3984,-558
-1956,16044,2380,-13,2399,-368
-1860,15936,2048,-100,874,-153
-1708,15924,1796,-80,-130,7
-1576,16080,1268,82,-811,71
-1432,16148,984,65,-1095,117
-1292,16152,904,-115,-1105,138
-1356,16080,472,-317,-934,136
-1252,16216,612,-330,-588,24
-1168,16044,432,-267,-206,-106
-1228,15940,428,-260,91,-280
-1248,16024,492,-294,274,-437
-1124,16148,848,-319,468,-524
-696,15996,1488,-203,916,-655
-568,16236,1112,-454,2205,-810
-932,16136,1016,-900,3423,-613
-1440,16040,1324,-920,3686,-336
-1480,16120,1112,-624,3220,-312
-1696,16196,672,-710,2521,-241
-1696,16012,1152,-749,1730,-114
-1252,16136,1260,-538,1400,-289
-1200,16176,948,-755,2202,-308
-1692,16060,1084,-985,3005,150
-2120,16052,1160,-918,2667,381
-2096,16048,964,-857,2015,344
-2420,16020,828,-768,780,271
-2396,16052,860,-603,-484,235
-2080,16128,812,-556,-1560,248
-1996,16048,672,-580,-2056,163
-1796,15972,684,-548,-2166,209
-1712,15952,832,-444,-2018,172
-1948,15796,816,-288,-2033,169
-1896,15864,732,-82,-2376,142
-1924,15788,964,79,-2601,125
-1460,15984,1012,149,-2492,143
-1176,15860,1212,157,-1755,42
-1164,15844,1352,-37,-728,11
-1308,15852,1380,-226,85,-44
-1484,15868,1420,-321,329,-22
-1504,16028,1368,-271,292,-8
-1448,16040,1128,-275,299,9
-1404,16008,1076,-343,234,47
-1684,15988,1168,-369,-74,-39
-1608,16056,892,-467,-503,-126
