accX,accY,accZ,gX,gY,gZ
-14948,2152,-4128,-759,423,-60
-15076,2052,-3940,-680,442,114
-15236,2080,-4064,-609,364,88
-15344,2080,-4084,-635,244,139
-15256,2152,-4228,-758,252,137
-15256,2364,-4092,-750,482,-18
-15352,2448,-4196,-747,545,-55
-15296,2388,-4036,-700,406,-158
-15248,2420,-3900,-667,330,-164
-15332,2472,-4052,-661,470,-301
-15524,2320,-4044,-529,469,-381
-15168,2272,-3972,-414,342,-427
-15132,2432,-4008,-412,453,-398
-15236,2332,-4164,-504,509,-467
-15140,2304,-4240,-563,472,-548
-15352,2260,-4056,-579,649,-529
-15328,2260,-3596,-488,648,-585
-15288,2256,-3916,-386,517,-546
-15072,2124,-4224,-341,600,-566
-14984,2224,-4196,-427,556,-587
-15380,2344,-4308,-435,513,-564
-15476,2240,-4136,-453,507,-488
-15240,2424,-4292,-487,310,-380
-15380,2412,-4200,-491,239,-482
-15216,2212,-4340,-561,112,-392
-14904,2200,-4116,-683,89,-336
-15020,2164,-3872,-656,368,-218
-15184,2304,-4064,-583,245,-164
-15024,2436,-4052,-574,91,-173
-15324,2304,-4036,-522,-73,-275
-15028,2144,-3932,-646,-208,-321
-14912,2080,-4276,-837,136,-380
-15212,2184,-4160,-1131,278,-479
-15560,2072,-3756,-1050,447,-253
-15596,2444,-3892,-840,487,-339
-15732,2416,-4176,-787,105,-258
-15560,2184,-3876,-564,130,-290
-15344,2240,-3928,-468,141,-275
-15068,2100,-3896,-436,87,-285
-14856,2024,-3804,-404,228,-301
-15344,2124,-4092,-471,302,-159
-15124,2160,-3984,-521,537,-255
-15448,2044,-3872,-515,325,-297
-15012,1876,-3716,-429,294,-341
-15152,1944,-3888,-337,265,-349
-15300,2208,-4312,-501,248,-254
-15384,2084,-4092,-516,210,-187
-15060,2176,-3940,-426,-77,-377
-14936,1916,-3804,-295,-24,-330
-14720,1876,-3696,-208,330,-351
-14956,2100,-4204,-227,470,-323
-15116,2072,-4292,-316,307,-157
-15132,2264,-3928,-412,402,-174
-15244,2168,-3868,-407,498,-276
-15420,2028,-4004,-369,476,-377
-15288,2080,-4060,-404,191,-337
-15216,1944,-3860,-357,395,-306
-15300,2180,-3644,-336,474,-323
-15396,2068,-3768,-228,584,-320
-15520,2048,-4176,-322,529,-309
-15128,1896,-3840,-364,408,-278
-15244,1968,-4044,-414,433,-237
-15412,1920,-4116,-397,367,-157
-15244,1788,-4084,-446,416,-100
-15396,1764,-4028,-552,353,12
-15356,1852,-3776,-609,212,45
-15172,1876,-3684,-468,272,-30
-15300,1920,-4180,-431,359,14
-15500,1864,-3868,-367,28,-55
-15344,1900,-3940,-412,39,5
-15180,1836,-3828,-302,518,-151
-15572,1988,-4296,-343,634,-125
-15568,1964,-4248,-491,239,-131
-15300,1852,-3832,-481,221,-208
-15528,1936,-3852,-379,9,-188
-15456,1920,-4064,-423,-443,-275
-15180,2008,-4104,-498,-515,-376
-15124,1880,-4372,-746,-348,-383
-15756,2076,-4224,-1138,-692,-424
-15524,2188,-4344,-1487,-1074,-526
-15228,2056,-3836,-1602,-790,-437
-16268,1720,-3048,-1105,29,-56
-15160,1868,-3352,-849,-652,-343
-15004,1852,-3356,-522,-307,-205
-15260,2248,-3352,-258,-318,-611
-15560,2024,-3680,-189,-682,-676
-15376,2240,-3672,-204,-766,-633
-14936,2024,-3332,-210,-356,-591
-15308,1976,-3468,-174,238,-542
-15592,1956,-3440,-249,-21,-556
-15228,1908,-3352,-239,-89,-653
-15404,1880,-3256,-202,-165,-712
-15236,1864,-3424,-257,-520,-748
-15128,1804,-3188,-188,254,-526
-15280,1704,-3436,-190,500,-394
-15508,1864,-3480,-297,284,-523
-15508,1812,-3552,-404,8,-557
-15408,1892,-3488,-666,-188,-588
-15532,1668,-3396,-870,-4,-546
-15252,1468,-2868,-595,-27,-405
-15032,1632,-3244,-487,-90,-452
-15136,1680,-3336,-438,-107,-387
-15012,1660,-3216,-374,237,-333
-15584,1812,-3412,-372,422,-148
-15460,1932,-3488,-488,467,-16
-15052,1720,-2800,-356,377,-91
-15248,1780,-3236,-200,617,-56
-15364,1704,-3712,-314,476,72
-15408,1808,-3612,-516,182,192
-15180,2096,-3192,-671,335,198
-15728,1924,-2912,-435,458,187
-15352,1812,-3344,-347,62,-64
-15352,1716,-3660,-387,85,79
-14964,1548,-3128,-548,8,-19
-15084,1560,-2828,-412,108,-33
-15404,1920,-3460,-290,234,88
-15324,2012,-3792,-467,155,53
-15380,1992,-3228,-581,246,80
-15740,1792,-3276,-543,-21,-62
-15656,1820,-3380,-606,-492,-44
-15440,1744,-3156,-508,-322,-159
-15716,1700,-3164,-423,38,-91
-15924,1712,-3192,-431,-33,-196
-16188,1752,-3112,-403,-174,-148
-15996,1624,-3164,-314,-735,-255
-15864,1524,-2932,-273,-1085,-398
-15900,1672,-3052,-199,-953,-526
-16192,1840,-3476,-198,-828,-492
-16612,2088,-3756,-666,-1466,-538
-16756,1832,-3768,-1247,-2298,-582
-17400,1748,-4104,-1664,-2394,-323
-16284,1228,-2792,-1871,-2264,276
-14472,1308,-1644,-1510,-2355,-106
-13748,1320,-1044,-807,-3245,-1328
-13952,1080,-1508,75,-1458,-1274
-15144,1532,-2280,493,-481,-964
-14828,1656,-2564,513,-399,-695
-15120,1900,-2112,415,-529,-840
-16000,1980,-2144,310,-650,-1008
-16244,2248,-2268,290,-724,-947
-16152,1972,-2128,289,-685,-925
-15840,1936,-1520,438,-1075,-1115
-15704,1532,-1436,477,-799,-1018
-15348,1776,-1984,205,-581,-1308
-15424,1680,-1860,-153,-208,-1367
-15984,1264,-1156,-274,-176,-1394
-15764,1216,-524,-198,-325,-1587
-15976,1440,-788,-85,84,-1622
-16424,1696,-1348,-240,-283,-1903
-16132,1764,-1100,-649,-790,-2325
-15792,1904,-704,-900,-585,-2534
-15704,2120,-656,-1200,-378,-2819
-15688,2592,-1076,-1642,-692,-3453
-15856,3000,-996,-2272,-876,-3970
-16008,3256,-444,-3003,-373,-4486
-16496,3288,-184,-3547,-89,-4688
-16348,3032,-124,-4254,308,-4653
-15580,2592,16,-5121,189,-4935
-14656,2152,-240,-6081,562,-5403
-14596,1608,-596,-7056,862,-5807
-14580,1024,-796,-8016,1386,-6142
-15384,1376,-1220,-8852,1241,-6658
-15276,1272,-1492,-9804,1053,-7250
-14688,984,-1232,-10578,1160,-8115
-14952,584,-1472,-11145,1540,-8560
-14328,496,-2296,-12001,1035,-9138
-13876,-196,-2024,-12908,406,-9759
-13516,-1076,-1436,-13134,1071,-9915
-13268,-1504,-2496,-13304,1582,-9766
-12656,-1724,-3464,-14307,1049,-9924
-12728,-2364,-3092,-15205,866,-10106
-12508,-2836,-2784,-15615,893,-9817
-12304,-2920,-3292,-15754,1412,-9421
-11712,-3396,-4260,-16052,1657,-9089
-11956,-3268,-4972,-16582,2295,-8645
-13420,-3024,-6124,-17369,1185,-8313
-13360,-3324,-5784,-17956,-100,-8137
-12216,-3008,-5508,-18395,41,-7946
-11532,-3216,-5976,-18407,459,-8081
-11176,-3860,-7380,-18589,751,-8142
-12004,-3812,-8652,-19253,46,-8163
-11576,-4180,-8744,-19744,-388,-7982
-10904,-3816,-9124,-20276,35,-7951
-10604,-4420,-9900,-20567,153,-7918
-10356,-4760,-10640,-20790,681,-7456
-11164,-4836,-10880,-20762,743,-7037
-11132,-5376,-11200,-20583,758,-6848
-12168,-4792,-12296,-20280,869,-6329
-12404,-5040,-13144,-20345,-471,-5726
-11364,-5836,-11624,-20165,-741,-4637
-10848,-6516,-11300,-19632,532,-3656
-11276,-6516,-13048,-19428,1608,-3123
-12312,-5648,-13560,-19313,1066,-3144
-12128,-6216,-13116,-18321,735,-3039
-12936,-6644,-13056,-17070,895,-2367
-13776,-7376,-13956,-15894,914,-2027
