accX,accY,accZ,gX,gY,gZ
-7072,-1476,13844,-1957,-9507,1208
-6052,-1924,14556,-1660,-7793,1327
-6016,-1696,14400,-1019,-5802,1501
-6648,-1500,14032,-1011,-5191,1278
-6044,-1536,14944,-677,-4242,886
-5176,-1304,14980,-296,-2223,288
-6796,-1144,14116,-260,-1439,765
-6400,-940,14196,-830,-1925,658
-5180,-1120,14776,-1523,-1589,-238
-5380,-1588,15060,-1334,119,-160
-5996,-1572,15144,-861,708,53
-7076,-1384,14212,-916,-539,211
-6732,-1356,14080,-1368,-1965,80
-5644,-1632,14616,-1446,-2620,-214
-4516,-1828,14856,-941,-1398,-294
-5448,-1632,14540,-537,213,-436
-7068,-1500,13628,-684,-789,528
-6692,-1380,13504,-1346,-2940,496
-5028,-1676,14620,-1387,-3547,127
-3960,-1876,14944,-586,-2002,-87
-4780,-1708,13816,146,-386,497
-6180,-1612,13508,433,-47,1650
-6900,-1380,14076,331,-2896,1330
-5768,-1868,15068,456,-5186,1106
-3308,-1804,15128,902,-4447,777
-2260,-1572,14824,940,-1963,-347
-4848,-1324,14700,1276,-1092,-589
-4460,-1288,15124,1232,-1276,-607
-3700,-1080,15412,1405,-1518,-1413
-4208,-1068,15632,1730,-1422,-1459
-3816,-832,15328,1685,-842,-966
-3764,-720,14916,1337,45,-689
-3984,-308,14440,1009,1005,-397
-4940,116,14780,-189,218,-241
-4232,-436,15208,-1152,-93,-296
-4148,-856,15632,-1120,467,-38
-4064,-1252,15284,-703,1202,318
-4700,-1028,14720,-608,1135,231
-4764,-1068,14532,-935,274,37
-4052,-1236,14892,-886,255,-440
-4244,-1356,15184,-315,807,-510
-4292,-1076,14808,-92,970,-256
-3860,-828,14900,-314,1335,-759
-3684,-964,14976,-311,2498,-1119
-5312,-848,15164,-196,2716,-687
-5176,-584,14912,-421,1708,-141
-4340,-600,14664,-613,1924,-704
-4300,-960,14696,-555,2740,-290
-4436,-1072,14540,-30,3649,182
-4576,-904,14312,56,3695,-414
-5148,-1000,14448,-257,3302,-903
-6180,-1032,14716,-428,2056,-503
-5504,-1176,15272,-249,1079,-415
-5020,-1284,15204,397,936,-254
-4636,-1128,14792,673,1343,-109
-5688,-760,14376,290,1207,-44
-5808,-592,14612,-255,175,-73
-5348,-636,14560,-684,-325,-101
-5204,-724,14816,-988,-79,-17
-5176,-660,14484,-1336,301,-210
-5136,-444,14188,-2088,796,-200
-4656,-772,14032,-2748,2212,-390
-4848,-1180,14656,-2632,3766,-131
-4740,-1476,15044,-2094,5445,-307
-4684,-1512,14648,-1278,7737,-588
-5044,-1424,14164,-615,10405,-838
-6928,-1476,14124,206,11443,-914
-8864,-1000,13000,318,9133,-878
-8960,-864,12836,-340,6082,-1346
-7724,-1396,13200,-556,4809,-1311
-6984,-1756,13636,-4,5732,-1277
-6996,-1448,13456,141,7061,-1284
-8116,-1388,12720,542,7804,-1434
-9144,-1244,12628,493,7170,-1432
-9936,-1076,12476,102,5352,-927
-9460,-1004,12260,-409,3296,-828
-9188,-1196,12160,-927,1964,-907
-9036,-1532,12704,-1059,1155,-726
-8620,-1524,12696,-950,1019,-524
-8572,-1356,12596,-838,1792,-324
-8416,-1516,12468,-629,2310,-61
-8620,-1356,11900,-847,2756,-127
-8472,-1064,11916,-1227,3396,-302
-8940,-1176,11360,-1529,4154,-238
-9448,-1312,11404,-1927,4347,-189
-9700,-1748,12004,-1749,4021,-238
-9992,-1644,11912,-1326,3353,-76
-10400,-1876,11696,-999,2549,84
-10052,-1808,11852,-742,1808,360
-9860,-1656,11536,-763,1268,133
-9860,-2028,11912,-678,1448,39
-9644,-1764,12044,-493,2377,107
-9788,-1760,11904,-90,3569,-48
-10040,-1796,11984,263,4522,-147
-9788,-2024,11688,806,5282,-247
-9904,-1312,10796,786,6062,-545
-9616,-1232,10296,216,7051,-1148
-10184,-1420,10520,-193,8619,-1552
-11236,-1448,10444,-52,9440,-1809
-12044,-1588,9864,-71,9043,-2008
-11468,-1776,9544,-167,9237,-2223
-10944,-1756,9320,-90,11067,-2559
-11880,-1932,9044,-156,12925,-2863
-13064,-2352,8908,98,13187,-2652
-13948,-2068,8236,167,11698,-2275
-14236,-2012,7564,-219,9552,-1932
-14392,-2140,7612,-715,7211,-1440
-13720,-2236,7236,-1113,5505,-1142
-14204,-2280,7516,-1357,4233,-985
-14444,-2332,7452,-1178,2759,-596
-14368,-2372,7528,-838,996,-348
-14044,-2376,6836,-712,-700,-31
-14012,-2204,6608,-994,-2167,-76
-14432,-2476,7172,-1303,-4301,37
-13948,-2624,7548,-1068,-6341,151
-13492,-2340,7272,-984,-7741,262
-13064,-2384,7356,-1273,-8626,277
-12824,-2388,7900,-1449,-9116,398
-12180,-2372,8404,-1433,-8863,357
-11816,-2412,8796,-1189,-7617,403
-11644,-2584,9116,-756,-6292,528
-11652,-2572,9268,-274,-5126,383
-11676,-2476,9344,31,-4434,321
-11604,-2304,9372,-62,-4033,77
-11792,-2344,9740,-5,-4115,123
-11452,-2480,10108,380,-4440,51
-11400,-2444,9964,503,-4456,-40
-11316,-2140,10064,407,-4623,105
-10996,-2008,10400,106,-4744,-31
-10868,-2016,10864,-111,-4739,-225
-10544,-1996,10948,-135,-4431,-229
-10744,-2124,11068,-110,-4064,-69
-10556,-2152,10944,-140,-4190,62
-10312,-1936,11176,-204,-4316,-7
-10100,-1772,11264,-546,-4237,-43
-9776,-1856,11384,-797,-3549,-177
-10084,-1980,11620,-988,-3246,22
-9624,-2100,11752,-833,-2809,118
-9328,-2244,11856,-481,-2170,136
-9120,-1996,11752,-180,-1342,39
-9480,-2116,11784,-35,-696,18
-9908,-1856,11768,-49,-1281,47
-9992,-1868,11852,-183,-2326,-13
-10184,-1812,11856,-470,-3852,160
-9864,-2068,12168,-564,-5280,280
-9364,-1904,12240,-569,-6756,316
-8932,-1920,12292,-850,-7792,22
-8724,-1892,12756,-1116,-8157,76
-7760,-2116,13208,-1008,-7659,273
-7284,-2200,13288,-697,-6928,278
-7712,-1996,13224,-676,-6871,311
-7136,-2000,13284,-775,-6517,446
-6492,-2024,13648,-747,-5584,485
-6128,-1920,13564,-734,-4151,192
-7064,-1960,13572,-891,-3832,17
-7228,-2008,13720,-1036,-4478,63
-6516,-2160,14144,-987,-4952,-1
-5504,-2232,14356,-655,-3899,-35
-5020,-2276,14484,-242,-1904,-88
-5920,-2104,14296,-176,-772,-91
-6384,-1928,14416,-277,-1150,-42
-6112,-1984,14164,-624,-2130,-215
-5100,-2140,14544,-746,-1504,-341
-4900,-2260,14932,-462,112,-223
-6036,-2116,14688,-302,157,-151
-6048,-1924,14436,-374,-467,-312
-5108,-2116,14436,-528,-166,-337
-4492,-2456,14532,-360,1590,-350
-5216,-2324,14824,123,3215,-294
-7780,-1796,13612,-351,805,-71
-7020,-1832,13512,-1500,-2816,-328
-4520,-2452,14688,-1619,-3022,-411
-3560,-2780,15084,-752,67,-399
-5336,-2380,14580,69,1971,-372
-7364,-2096,13660,-128,-349,-348
-6008,-2256,14084,-514,-3055,-673
-4624,-2164,14528,-353,-3354,-862
-4608,-2108,14636,19,-2303,-1047
-5056,-1896,14428,393,-1941,-1163
-5060,-1548,14236,548,-2497,-1402
-4608,-1548,14440,724,-2710,-1619
-4564,-1604,14472,700,-2874,-1593
-4832,-1732,14824,684,-3195,-1352
-4204,-1944,15120,685,-3283,-1025
-3568,-2092,15100,702,-2384,-611
-3776,-1868,15108,299,-1199,-276
-4536,-1788,14984,-369,-1057,104
-4384,-1948,15212,-935,-1336,292
-3868,-2144,15280,-1122,-1107,490
-3896,-2164,15332,-1133,-502,465
-4256,-2260,15160,-1128,-149,465
-4204,-2328,15176,-1271,-320,446
-4056,-2300,15032,-1245,-543,286
-3680,-2276,14936,-1320,-243,171
-4140,-2248,14788,-1414,-78,97
-3628,-2428,15216,-1326,36,-12
-3120,-2388,15112,-1008,1274,-84
-3192,-2224,15284,-884,3620,302
-4048,-2108,15128,-711,4786,667
-4264,-1876,14916,-669,4887,337
-4056,-1776,14768,-971,6224,125
-3464,-2000,14812,-961,9271,416
-5232,-2128,14464,-588,10554,493
-6640,-1920,14096,-554,9131,-41
-7788,-2012,13440,-902,5552,-69
-8240,-2284,13344,-1387,1132,354
-5844,-2648,13844,-1669,-982,500
-4908,-2716,14140,-1476,87,433
-5132,-3108,14792,-832,1694,658
-5912,-2836,14420,-73,2419,586
-6484,-2400,13764,-154,1888,357
-7376,-2264,13576,-697,-34,481
-6248,-2456,13936,-855,-975,420
-5744,-2692,14256,-575,-598,338
-5640,-2724,13720,-187,4,445
-6396,-2312,13384,-29,-720,530
-6780,-2244,13984,132,-2277,669
-5448,-1864,13944,198,-2809,511
-5052,-1888,14032,208,-1695,685
-5180,-1992,14380,262,-808,894
-5564,-1596,14688,393,-344,816
-5776,-1384,14392,295,-843,689
-5452,-1204,14512,82,-744,631
-5632,-1404,14476,-4,-581,799
-5988,-1340,14916,84,-864,585
-6008,-1192,15024,130,-1483,511
-5544,-1160,15552,285,-1424,305
-5368,-1216,15124,496,-835,96
-5832,-1300,14612,182,-974,-159
-5408,-1544,14468,-236,-1421,-430
-5052,-1912,14628,-489,-1400,-703
-4580,-1864,14656,-421,-941,-755
-4608,-1760,14452,-341,-510,-791
-4724,-1732,14308,-479,-629,-731
-4956,-1932,14340,-670,-1150,-606
-4468,-1936,14416,-702,-1556,-646
-4408,-2020,14600,-514,-1493,-626
-4656,-1604,14620,-350,-1577,-478
-4536,-1444,14616,-300,-1580,-497
-4364,-1568,14548,-222,-938,-461
-4392,-1776,14688,-142,-417,-380
-4844,-1584,14608,-320,-775,-380
-4984,-1508,14268,-848,-1450,-327
-4344,-1880,14572,-1058,-1410,-398
-3936,-2296,14672,-916,-123,-535
-4048,-2452,14876,-422,1045,-451
-4592,-2300,14564,-63,1163,-557
-4800,-2320,14704,150,621,-353
-4496,-2416,15012,381,772,-229
-4604,-2080,15252,702,846,10
-4504,-1744,15384,852,782,14
-4288,-1408,15448,773,1227,-168
-4576,-1340,15316,493,1690,-207
-5168,-1260,15256,37,952,-156
-4792,-1268,15128,-608,17,-214
-4220,-1416,14916,-1105,37,-397
-4188,-1548,14656,-1484,145,-375
-4124,-1644,14528,-1657,396,-347
-4484,-1880,14364,-1577,617,-307
-4712,-1872,14440,-1330,75,-220
-4448,-1840,14420,-1012,-294,-208
-3992,-1604,14448,-760,204,-327
-4312,-1560,14256,-734,1149,-52
-4760,-1268,14164,-835,1240,391
-4872,-1352,14808,-1264,327,-91
-4760,-1908,15104,-1240,-42,-27
-4512,-1804,15044,-832,199,55
-4576,-1840,14568,-560,514,295
-4780,-1440,14448,-710,313,-83
-5040,-1620,14212,-1291,-381,-335
-4364,-1744,14292,-1810,-847,-517
-3976,-2124,14816,-2269,-834,-1059
-3920,-2744,15348,-1881,-134,-688
-3572,-2828,14748,-926,925,8
-4472,-2496,13924,-645,1062,-106
-4640,-2580,13736,-816,694,-43
-4532,-2560,14080,-584,202,248
-3920,-1052,13264,-1217,851,-540
-6476,552,14716,-5535,-1197,-4397
-6908,-3112,16032,-5648,-409,-3365
-4256,-3092,15412,-5055,1296,-2686
-4508,-3564,14296,-4478,1675,-2448
-4760,-3560,14224,-4915,785,-2384
-4412,-4228,15096,-4511,-422,-2366
-3988,-4068,15376,-3502,-563,-2350
-4192,-4176,15276,-2970,-744,-1814
-3468,-4584,16096,-2344,-459,-1675
-4644,-4420,15936,-1970,-917,-1318
-3688,-4504,15528,-1508,-829,-1127
-3636,-4904,15400,-819,8,-1154
-4508,-5788,16352,1393,-180,-184
-6384,-4924,13928,4779,-3275,3174
-408,-1064,13384,3082,-1443,534
-3708,-2640,14088,-269,-3475,-1828
-2840,-3624,16252,-1174,-2641,-1261
-2792,-3248,16212,-1100,-1532,-507
-3096,-3832,15788,-527,-919,-406
-2488,-4036,14752,219,-764,-545
-2872,-3996,13364,272,-825,-545
-2928,-3652,12612,-206,-1617,300
-2136,-3724,13160,-667,-2059,29
-2736,-3592,13104,-429,-2637,571
-3052,-3120,14304,-278,-3043,1518
-2696,-2976,15404,504,-3157,1718
-3420,-3056,15356,1216,-2598,2233
-3088,-3328,15396,1702,-1928,3220
-2264,-3200,15428,1642,-1150,3138
-2936,-3728,15696,1560,-972,2976
-3188,-3912,16128,2376,-2159,3560
-2760,-3620,16428,3329,-2780,3705
-2536,-3108,16056,3694,-2468,3224
-1764,-2432,15096,2914,-1960,2498
-1420,-1876,13896,1197,-1325,2448
-2336,-2040,15080,296,-1000,2482
-2076,-2068,14876,424,-1369,1869
-1420,-1772,14844,756,-900,988
-2404,-1960,13636,543,-275,346
-2676,-2544,13636,30,-568,-204
-2360,-3160,14228,-216,-362,-826
-1904,-3608,15124,321,165,-1055
-2368,-2420,16844,131,1439,-1440
-3508,-1948,17428,-674,2280,-1901
-2860,-2744,16112,-260,1441,-1509
-1772,-2324,14208,198,1122,-1579
-2112,-1812,13392,-309,1360,-1565
-2336,-2084,13992,-883,1454,-1523
-3208,-2984,14636,-545,1437,-1563
-3232,-3696,14352,316,1110,-1482
-3280,-3816,13864,1259,1552,-1394
-4148,-3444,13832,1387,895,-1216
-4696,-2568,15312,1582,-509,-1001
-3780,-2104,16608,2363,-1499,-842
-2940,-1600,16904,3097,-2215,-883
-1512,-840,16244,3391,-1989,-714
-696,-672,15508,2674,-881,-447
-620,-316,16268,1598,-411,-397
-624,228,16784,709,-753,-423
380,264,17260,39,-764,-224
1056,512,17216,-484,32,-37
1004,776,16852,-1386,1452,-85
60,728,16568,-2559,2509,-295
-1412,324,16588,-3545,2513,-780
-1624,-608,16380,-3921,2372,-1697
-2276,-1508,16532,-3572,2736,-2235
-3344,-1532,16096,-2998,2645,-2494
-2184,-1584,16016,-3233,1392,-3180
-1296,-1908,15616,-3718,1214,-3174
-1236,-2572,15036,-4043,2356,-2662
-884,-2528,14532,-4236,4339,-2246
-1872,-2100,13872,-5291,7631,-2188
-4356,-3720,14516,-6138,7038,-437
-3400,-5308,14936,-4488,6235,-160
-4940,-4796,13204,-1538,5237,-757
-2948,-2572,10880,-3084,4975,-989
-4092,-3280,12528,-5107,5871,-1141
-2904,-4160,14468,-5006,4322,-468
-752,-4564,15052,-4144,4605,-552
-3480,-1712,13856,-5675,5094,-1389
-5252,-3388,14508,-7661,5249,-619
-4084,-4852,15144,-8122,7049,573
-2480,-7348,16712,-6540,9858,2157
-7252,-6444,15276,-3356,10451,2693
-10628,-6032,15940,-495,3837,3801
-7864,-5624,15576,1798,-45,3314
-5668,-5024,14728,3064,-828,1327
-7384,-4548,14852,3133,-1621,-116
-5292,-4464,14788,2830,-2145,208
-4380,-4076,13272,2536,-1865,-213
-5844,-3560,13052,1959,-3027,224
-4040,-3188,13236,1129,-3538,815
-3156,-3256,13496,462,-2693,641
-3624,-3316,13116,-239,-966,452
-4208,-3716,12980,-721,579,1090
-4528,-3704,13104,-1503,3040,1208
-5896,-4076,13220,-1845,5632,1327
-6744,-4608,12792,-1578,6517,1932
-7572,-4524,13312,-969,5312,2110
-9280,-4484,12164,-675,179,2268
-8660,-5140,10968,-647,-4568,2578
-6956,-5832,11944,-59,-5958,2678
-7348,-5464,13876,1420,-6922,3218
-4796,-5044,14800,2577,-7404,2771
-5516,-4060,15372,2908,-7541,2487
-4108,-3588,16768,3519,-7278,3042
-2956,-3052,15780,4021,-7229,3167
-1880,-1816,14776,3153,-5996,1486
-2316,-1976,14468,1946,-3807,760
-2624,-2260,15144,1956,-1436,794
-4248,-2320,14892,2020,-593,72
-5432,-2520,14420,2053,-1801,-584
-4820,-2376,13748,1613,-2370,-1141
-3876,-2600,14520,1413,-2058,-1167
-3260,-2568,15148,1638,-1810,-746
-2720,-2096,15220,1141,-1205,-475
-3780,-1716,14716,219,-627,-333
-3692,-1760,15128,-441,-709,281
-2556,-1932,15096,-707,155,321
-2840,-1880,14144,-559,725,-296
-2780,-2212,13700,-320,1035,-227
-3464,-2068,14124,-30,320,210
-3612,-1676,14764,-158,-760,285
-2296,-1848,15760,-329,-680,138
-2660,-2140,16092,-110,120,-66
-2584,-2184,15680,248,812,202
-3496,-2164,15292,573,1554,224
-4168,-2164,15876,492,1020,159
-3408,-2052,15748,406,662,-185
-3920,-1868,15536,563,872,-296
-4696,-1312,15820,874,915,-501
-4656,-880,15784,984,1729,-1180
-5424,-932,14356,655,1662,-1753
-4804,-1380,13596,493,895,-2517
-3560,-1812,13248,726,1155,-3350
-3720,-1808,13092,1095,2155,-3791
-3924,-1600,12876,1570,2316,-3497
-2560,-1504,12844,1770,2414,-4043
-2112,-1356,12604,1649,2587,-4140
-2652,-1756,13064,1955,3408,-3510
-2936,-1592,13024,2400,3610,-2808
-3720,-1508,14000,2747,2451,-2777
-4952,-1312,15572,3074,-270,-2495
-4976,-1400,17100,2764,-3064,-2085
-3520,-1856,18396,2477,-3908,-1584
-2708,-1288,17764,1952,-1922,-700
-2664,-1264,17372,1085,-855,-349
-2864,-884,17820,457,-1170,-753
-3668,-364,17384,-259,-1555,-786
-3684,-52,17116,-568,-1692,-568
-3204,164,16152,-1003,-1737,-733
-2112,372,14592,-2201,-1010,-1781
-2204,-204,13664,-3319,-102,-2831
-2896,-1084,13652,-3621,702,-2994
-3896,-1544,13632,-3271,-192,-2589
-3700,-2080,13684,-2999,-1021,-2764
-4076,-2496,14840,-2519,-1097,-2596
-4496,-2824,15768,-1832,-1841,-2090
