accX,accY,accZ,gX,gY,gZ
-14324,1744,-2352,708,-6350,537
-13892,1500,-1168,2142,-4381,372
-15536,2376,-1524,2022,-2875,517
-16092,1892,-2620,1616,-3633,343
-15224,2232,-2524,787,-2517,205
-16152,2156,-2404,148,-1157,345
-16460,1892,-1696,-649,-2114,-106
-15200,1496,-44,-104,-2227,-604
-17140,1620,-544,816,-2321,-684
-16300,1772,-196,20,-4654,-332
-15568,1528,-468,-730,-5034,44
-14836,1484,-1500,-1552,-2669,131
-15252,1416,-172,-2152,3,680
-14924,1260,1392,-824,221,479
-15064,1428,1636,-445,408,171
-15672,2088,-392,-299,347,160
-15816,1652,-272,70,325,54
-15580,2012,-476,-205,-206,-43
-15744,1812,-500,-447,-309,-78
-15348,1928,100,-306,-48,-38
-15240,2148,220,51,-215,-55
-15300,2380,-376,245,64,-3
-15336,2452,-1356,88,191,107
-14996,2276,-324,-86,689,309
-15872,2120,196,-92,1056,652
-15496,2024,996,132,-14,523
-15488,2308,76,221,-323,269
-15116,2128,-576,20,129,334
-15588,2032,-720,-394,386,498
-15920,1908,96,-487,216,575
-15640,2064,544,-471,-151,589
-15784,2068,-148,-17,-703,606
-15228,2512,-884,-234,-997,449
-15468,2520,100,-974,-2419,285
-14480,1960,272,-7,-903,385
-15072,2696,96,-51,-136,159
-15968,2548,-124,-21,962,24
-16024,2704,-296,-425,312,-98
-15664,2452,220,-543,8,-108
-15160,2540,140,-378,-179,-268
-15260,2344,208,-514,-164,-485
-15616,2348,292,-613,-88,-227
-15136,2384,56,-721,-43,-177
-15008,2568,48,-758,383,-58
-15408,2404,316,-627,575,-46
-15028,2560,172,-552,165,-171
-15376,2356,24,-442,506,-4
-15588,2264,16,-475,741,118
-15120,2116,192,-508,936,240
-15288,1996,-24,-465,1202,371
-15336,2020,-192,-461,915,347
-15264,2132,72,-385,1089,317
-15632,2192,-92,-342,1138,297
-15556,2224,-216,-339,1005,261
-15500,2412,-656,-412,971,301
-15224,2220,-604,-511,1071,233
-14712,2364,-652,-764,1526,41
-15452,2604,-560,-963,2254,40
-15800,2856,-628,-951,2142,111
-15700,2780,-208,-892,1869,85
-15120,2752,-196,-749,1774,75
-15304,2824,-736,-816,1979,-31
-15532,2832,-580,-749,2042,76
-15756,2848,-416,-781,1711,90
-15476,2848,-204,-725,1263,211
-15224,2908,-412,-678,1072,201
-15596,3040,-592,-601,827,170
-15548,2800,-316,-547,519,254
-15576,2884,-544,-454,513,301
-15536,3032,-584,-600,328,348
-15440,3004,-840,-876,595,443
-15188,2760,-756,-1015,751,431
-15740,2944,-272,-834,357,452
-15984,2900,-536,-747,-87,432
-15576,2756,-444,-736,165,582
-16104,2668,-1096,-907,349,855
-16244,2612,-636,-925,-50,988
-15800,2856,-180,-824,20,1092
-16204,3116,-624,-884,81,1108
-15388,2988,-664,-968,-61,1199
-15124,3080,-588,-1006,60,1212
-15360,3184,-384,-864,-151,1129
-15164,3488,-584,-932,107,813
-14992,3312,-824,-1088,-159,817
-15024,3100,-648,-1156,-480,716
-14696,2900,-716,-1227,-213,959
-14844,2512,-696,-1532,234,1153
-14292,1916,-400,-1752,1215,1494
-14252,1592,-16,-1887,1787,1657
-14568,1464,140,-1753,2068,1916
-14420,1360,84,-1503,2111,2321
-14908,1268,-448,-1198,2439,2394
-15044,1452,-784,-1030,2577,2238
-15096,1144,-1240,-844,2236,2167
-15116,920,-1652,-976,2247,1919
-15232,508,-792,-744,3116,1992
-15156,656,-440,-17,2645,1284
-15200,628,-540,671,1619,728
-14272,308,-936,1260,1738,389
-15288,124,-1608,1769,2643,-33
-15608,508,-1488,2527,2367,-510
-16032,156,-556,3602,1470,-1365
-17372,-280,-1552,4543,1101,-1733
-16732,-504,-2060,5041,1349,-2249
-16980,32,-1764,5413,1759,-3039
-17892,184,-1504,6000,1554,-3683
-18820,224,-2068,6236,1633,-3990
-19672,524,-2636,6410,2226,-4124
-18944,812,-1492,7051,2033,-4487
-19564,1364,-1456,7919,323,-5653
-20176,1476,-2664,7861,-418,-6448
-19080,1524,-3876,7219,107,-7033
-19536,1544,-4808,6328,1386,-7414
-20716,1624,-2976,6497,944,-7660
-20272,1852,-2624,6402,-344,-8163
-19516,2072,-2972,6311,9,-8475
-19480,1844,-3420,5934,-546,-8636
-18696,1000,-2524,5485,-331,-8364
-18340,504,-1804,5700,7,-8285
-17324,400,-780,6455,172,-7900
-16752,888,-1880,6960,-874,-8548
-15800,820,-3400,6935,-1443,-8854
-14760,384,-3856,6511,-907,-8804
-15504,-176,-4440,6211,856,-8217
-14876,492,-4752,5662,-95,-8404
-14032,844,-3404,5187,235,-8094
-14260,428,-4272,4696,1176,-7736
-13364,284,-4676,3741,1716,-6857
-12948,-252,-5156,3011,2459,-5695
-11272,60,-4596,1548,1376,-5516
-10696,-180,-3544,1042,1235,-5591
-11516,-1088,-3360,930,566,-5452
-10772,-1252,-3156,978,406,-4979
-11208,-1784,-3212,1156,943,-3972
-11220,-2060,-3632,667,906,-3277
-11336,-2604,-2584,177,645,-2539
-10592,-2376,-1764,159,212,-2048
-9756,-2296,-1980,195,264,-1882
-10548,-2240,-2592,-31,1458,-954
-11320,-2440,-3148,-760,1971,296
-10956,-2716,-2960,-1481,2294,1103
-11480,-2968,-3092,-2064,2942,1956
