accX,accY,accZ,gX,gY,gZ
-16344,16748,-14444,25705,-8208,-752
-17032,14720,-13964,25291,-11034,-1334
-16064,14032,-11940,25939,-11887,-2965
-15764,14568,-13020,26687,-12539,-4353
-15336,14620,-15604,26128,-10339,-6310
-15664,15128,-17100,24378,-9355,-7745
-16240,15236,-15776,22472,-8310,-9166
-13504,14464,-12092,21961,-8670,-11391
-14048,12976,-11856,22488,-7618,-13032
-13448,11676,-12768,22302,-5710,-13797
-14444,11272,-13576,20798,-4753,-14182
-15532,10824,-13928,18006,-4592,-14238
-12696,9232,-9608,15423,-6277,-15071
-11236,7840,-6480,14792,-6483,-15932
-11560,6580,-7056,14540,-5064,-15527
-11732,5776,-7016,13442,-4783,-14999
-11288,5400,-6080,12240,-5984,-13701
-9912,5288,-4452,11165,-7203,-12700
-9316,3772,-4904,9354,-8155,-11452
-8172,2396,-4244,8063,-6388,-9704
-7856,2648,-3712,7092,-4446,-7525
-8420,2128,-3288,5662,-2630,-5266
-8832,1204,-2768,4389,-2053,-2969
-7388,1224,-2436,2841,-1142,-1064
-6660,1188,-2316,1349,845,61
-7744,1292,-3200,-210,2810,1726
-8576,644,-3436,-1686,3626,3614
-9316,1176,-4312,-3866,3555,5013
-9336,2452,-5604,-6536,4813,6811
-11064,3004,-6212,-9004,5579,8827
-12748,1388,-6368,-11090,5566,11602
-12072,3000,-6340,-13438,3802,12542
-11236,3952,-4740,-15603,2985,12716
-10328,3656,-3760,-16168,4955,13792
-12176,3652,-5620,-16168,6818,15314
-14584,5404,-8736,-16941,7279,18043
-14616,7504,-9976,-19567,3820,17554
-11872,6108,-7064,-19805,3539,19078
-9796,7472,-7216,-18684,7513,20233
-10784,11348,-10500,-19812,7889,18098
-11476,11144,-10424,-19980,9405,18135
-11328,11792,-8568,-19643,10672,17634
-10656,14300,-10476,-19736,12645,16424
-11216,16668,-13080,-20663,12815,14906
-11068,17668,-13544,-22246,13015,13044
-10472,17780,-11800,-22815,14173,10931
-11000,19812,-12552,-22266,16610,8721
-12532,19780,-13204,-22146,14775,6724
-12856,20188,-12956,-22741,11362,3991
-12052,20644,-12208,-23161,9950,2317
-8540,19444,-11520,-22548,10841,-237
-9668,19092,-10160,-21307,13555,-1937
-10728,18332,-9324,-19695,12353,-4638
-10376,17928,-9884,-18014,11489,-5931
-11048,16328,-10388,-16676,10164,-6846
-10464,14044,-9140,-15395,8213,-7774
-9836,12148,-8724,-14123,7105,-8110
-9868,10560,-8988,-12927,5695,-8274
-9856,9352,-9188,-12366,4525,-8355
-10384,8672,-8540,-11852,2419,-8090
-9848,7268,-8168,-11214,409,-7877
-6840,6040,-7332,-10480,220,-7146
-7044,4840,-5408,-8256,687,-6580
-6476,4900,-6224,-6536,292,-6173
